,SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,AGE_CLIENT,YEARS_EMPLOYED,CNT_FAM_MEMBERS,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,ANNUITY_INCOME%,PAYMENT_RATE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE
245895,384575,Cash loans,M,36.0,2.09,4.0,Y,N,207000.0,465457.5,52641.0,418500.0,0.25430434782608696,0.11309518054817035,Commercial associate,Secondary / secondary special,Married,House / apartment
98194,214010,Cash loans,F,40.0,3.13,1.0,Y,Y,247500.0,1281712.5,48946.5,1179000.0,0.19776363636363636,0.03818836127446678,Commercial associate,Higher education,Single / not married,House / apartment
36463,142232,Cash loans,F,49.0,1.75,2.0,Y,N,202500.0,495000.0,39109.5,495000.0,0.19313333333333332,0.0790090909090909,Working,Secondary / secondary special,Married,House / apartment
249923,389171,Cash loans,F,54.0,19.13,1.0,N,Y,247500.0,254700.0,24939.0,225000.0,0.10076363636363636,0.09791519434628976,State servant,Secondary / secondary special,Widow,House / apartment
158389,283617,Cash loans,M,56.0,3.03,1.0,N,Y,112500.0,308133.0,15862.5,234000.0,0.141,0.05147939363846132,Working,Secondary / secondary special,Single / not married,House / apartment
226343,362171,Cash loans,M,52.0,1000.67,2.0,N,Y,85500.0,152820.0,16456.5,135000.0,0.19247368421052632,0.10768551236749116,Pensioner,Secondary / secondary special,Married,House / apartment
69571,180689,Cash loans,F,43.0,0.95,3.0,N,N,112500.0,900000.0,24750.0,900000.0,0.22,0.0275,Commercial associate,Secondary / secondary special,Married,House / apartment
181469,310328,Cash loans,M,30.0,0.71,1.0,Y,Y,141606.0,810000.0,33120.0,810000.0,0.23388839455955257,0.04088888888888889,Commercial associate,Secondary / secondary special,Single / not married,House / apartment
114736,233043,Cash loans,F,64.0,1000.67,2.0,N,Y,130500.0,781920.0,34443.0,675000.0,0.2639310344827586,0.04404926335174954,Pensioner,Secondary / secondary special,Married,House / apartment
114007,232220,Cash loans,F,24.0,1.78,2.0,N,Y,99000.0,900000.0,35824.5,900000.0,0.3618636363636364,0.039805,Working,Secondary / secondary special,Separated,House / apartment
29765,134561,Cash loans,F,36.0,0.77,6.0,N,N,67500.0,331920.0,17077.5,225000.0,0.253,0.05145065075921909,Commercial associate,Secondary / secondary special,Married,House / apartment
17967,120952,Cash loans,M,23.0,2.22,2.0,Y,Y,135000.0,225000.0,11074.5,225000.0,0.08203333333333333,0.04922,Commercial associate,Secondary / secondary special,Married,With parents
76671,188909,Cash loans,F,62.0,1000.67,1.0,N,N,270000.0,593010.0,17122.5,495000.0,0.06341666666666666,0.0288738807102747,Pensioner,Secondary / secondary special,Widow,House / apartment
213390,347275,Cash loans,M,46.0,2.99,4.0,Y,Y,630000.0,1125000.0,36292.5,1125000.0,0.05760714285714286,0.03226,Commercial associate,Secondary / secondary special,Married,House / apartment
130021,250804,Cash loans,M,31.0,2.28,1.0,Y,N,180000.0,774000.0,28813.5,774000.0,0.160075,0.03722674418604651,Commercial associate,Higher education,Single / not married,Municipal apartment
214670,348749,Cash loans,F,28.0,6.0,3.0,N,Y,112500.0,142200.0,9387.0,112500.0,0.08344,0.0660126582278481,Working,Secondary / secondary special,Married,With parents
113284,231383,Revolving loans,F,62.0,18.98,2.0,Y,Y,256500.0,765000.0,38250.0,765000.0,0.14912280701754385,0.05,Commercial associate,Lower secondary,Married,Rented apartment
16847,119647,Cash loans,F,33.0,2.55,2.0,N,Y,45000.0,454500.0,17739.0,454500.0,0.3942,0.03902970297029703,Working,Secondary / secondary special,Married,House / apartment
135684,257374,Cash loans,F,62.0,1000.67,2.0,N,Y,292500.0,781920.0,33259.5,675000.0,0.1137076923076923,0.042535681399631674,Pensioner,Secondary / secondary special,Married,Municipal apartment
177085,305211,Cash loans,F,64.0,1000.67,2.0,N,Y,157500.0,824823.0,24246.0,688500.0,0.15394285714285713,0.02939539755802154,Pensioner,Higher education,Married,House / apartment
46456,153812,Cash loans,F,66.0,1000.67,2.0,N,Y,85500.0,225000.0,15790.5,225000.0,0.18468421052631578,0.07018,Pensioner,Lower secondary,Civil marriage,House / apartment
42613,149325,Cash loans,M,26.0,2.24,2.0,Y,N,270000.0,755190.0,38610.0,675000.0,0.143,0.051126206649982124,Commercial associate,Incomplete higher,Married,House / apartment
263110,404667,Cash loans,F,28.0,0.88,3.0,N,N,112500.0,503676.0,34200.0,382500.0,0.304,0.0679007933671646,Working,Higher education,Married,With parents
12209,114238,Cash loans,F,23.0,1000.67,3.0,Y,Y,247500.0,270045.0,30595.5,256500.0,0.12361818181818182,0.11329778370271622,Pensioner,Higher education,Married,House / apartment
236052,373414,Cash loans,F,38.0,2.13,2.0,N,Y,112500.0,339241.5,16627.5,238500.0,0.1478,0.049013755687320096,Working,Secondary / secondary special,Married,House / apartment
76219,188388,Cash loans,F,62.0,3.64,2.0,Y,N,202500.0,500490.0,48888.0,450000.0,0.24142222222222223,0.09768027333213451,Commercial associate,Higher education,Married,House / apartment
113757,231929,Cash loans,F,30.0,2.27,3.0,Y,Y,67500.0,1024740.0,52452.0,900000.0,0.7770666666666667,0.05118566660811523,Working,Secondary / secondary special,Married,House / apartment
162888,288831,Cash loans,F,30.0,4.14,4.0,N,Y,171000.0,375322.5,20488.5,324000.0,0.11981578947368421,0.05458905341406391,Working,Secondary / secondary special,Civil marriage,House / apartment
9929,111556,Cash loans,M,47.0,3.72,3.0,Y,Y,315000.0,927000.0,30766.5,927000.0,0.09767142857142858,0.033189320388349514,Working,Secondary / secondary special,Separated,House / apartment
85872,199643,Cash loans,F,37.0,17.38,4.0,N,N,135000.0,675000.0,34465.5,675000.0,0.2553,0.05106,Working,Higher education,Civil marriage,House / apartment
17719,120657,Cash loans,F,36.0,2.32,4.0,N,Y,202500.0,713889.0,56533.5,661500.0,0.2791777777777778,0.07919088261620504,Working,Higher education,Married,House / apartment
293116,439579,Revolving loans,F,57.0,1000.67,2.0,N,Y,135000.0,360000.0,18000.0,360000.0,0.13333333333333333,0.05,Pensioner,Secondary / secondary special,Married,House / apartment
225524,361223,Cash loans,F,61.0,1000.67,2.0,N,Y,180000.0,518562.0,20695.5,463500.0,0.114975,0.03990940331146517,Pensioner,Higher education,Married,House / apartment
